[     671ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:17348
[     707ms] [LOG] Running application "main" with appParams:
 {rootTag: #root, hydrate: undefined} 
Development-level warnings: ON.
Performance optimizations: OFF. @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:40281
[     761ms] [WARNING] [expo-av]: Expo AV has been deprecated and will be removed in SDK 54. Use the `expo-audio` and `expo-video` packages to replace the required functionality. @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:199208
[     825ms] [WARNING] props.pointerEvents is deprecated. Use style.pointerEvents @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:23886
[   32807ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:8081/login:0
[  717662ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  727723ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  737887ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  747658ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  757762ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  767762ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  777661ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  787809ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  797655ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  807682ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  817723ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  827763ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  837681ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  847722ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  857722ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  867671ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  877901ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  887846ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  897657ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  907899ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  917708ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  927691ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  937657ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  947884ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  957649ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  967723ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  977652ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  987649ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  997658ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1007717ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1017662ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1027728ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1037727ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1047798ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1057655ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1067732ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1077651ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1087792ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1097744ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1107668ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1117751ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1128177ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1137675ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1147659ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1157712ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1167657ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1177787ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1183457ms] [LOG] ✅ Order status updated: 009bd01a-eeff-4f2c-8589-ccb71c3fd1f6 → preparing @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:146299
[ 1187766ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1197732ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1207664ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1217647ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1227680ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1237892ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1247641ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1257642ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1267692ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1277693ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1287650ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1297829ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1307642ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1317652ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1327693ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1337671ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1347658ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1357749ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1367915ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1377663ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
